Wissensstand,Anzahl,Anteil
1,1.0,0.00840336134453781
2,5.0,0.0420168067226891
3,9.0,0.0756302521008403
4,30.0,0.252100840336134
5,52.0,0.436974789915966
6,22.0,0.184873949579832
