Category,Using the program,Usage ignored,Not using the program
Browser,0.41869918699187,0.342857142857143,0.289398280802292
OS,0.810457516339869,0.801680672268908,0.792387543252595
Web,0.585635359116022,0.403361344537815,0.215909090909091
Desktop,0.810020876826722,0.636134453781513,0.518987341772152
Games,0.537974683544304,0.466004583651642,0.456125108601216
Total,0.678832116788321,0.541769649036085,0.471599402092676
