Category,Using the program,Usage ignored,Not using the program
Browser,0.496688741721854,0.389189189189189,0.315068493150685
OS,0.848484848484849,0.832432432432432,0.813953488372093
Web,0.608695652173913,0.436936936936937,0.252336448598131
Desktop,0.809090909090909,0.698648648648649,0.609756097560976
Games,0.53968253968254,0.472972972972973,0.460755813953488
Total,0.704347826086957,0.57670906200318,0.503132832080201
