Kategorie,Privat,Gewerbe
Kosteneinsparungen,0.663865546218487,0.34
Stabilität,0.243697478991597,0.185
Anpassbarkeit,0.19327731092437,0.215
Sicherheit,0.176470588235294,0.18
Community,0.168067226890756,0.355
Transparenz,0.126050420168067,0.275
Unabhängigkeit,0.0840336134453782,0.255
Offene Standards,0.0672268907563025,0.425
Innovation,0.0420168067226891,0.175
Mitarbeitende,0.0168067226890756,0.15
Sonstiges,0.739495798319328,0.0
