Nutzungshäufigkeit,Ich kannte den Begriff nicht,Nein,Teilweise,Größtenteils,Ja
1,0.230769230769231,0.0,0.153846153846154,0.307692307692308,0.307692307692308
2,0.0476190476190476,0.0476190476190476,0.238095238095238,0.571428571428571,0.0952380952380952
3,0.0,0.0,0.19047619047619,0.238095238095238,0.571428571428571
4,0.0,0.015625,0.03125,0.3125,0.640625
