Vorkenntnisse,Ich kannte den Begriff nicht,Nein,Teilweise,Größtenteils,Ja
1,1.0,0.0,0.0,0.0,0.0
2,0.2,0.0,0.2,0.4,0.2
3,0.111111111111111,0.0,0.444444444444444,0.111111111111111,0.333333333333333
4,0.0333333333333333,0.0,0.233333333333333,0.533333333333333,0.2
5,0.0,0.0384615384615385,0.0192307692307692,0.326923076923077,0.615384615384615
6,0.0,0.0,0.0,0.227272727272727,0.772727272727273
